bin,k',k,q_squared,t,x_b,w,phi,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,1/2 Helc_diff_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,2.36,5.7572,2.161,-0.171,0.336,,277.5,0.077,0.0035,0.0035,0.0007,0.0004,-0.0199,0.0048,0.0048,0.0004,0.0014,
,2.36,5.7572,2.161,-0.171,0.336,,292.5,0.0955,0.0039,0.0039,0.0025,0,-0.0176,0.0054,0.0054,0.0023,0.0005,
,2.36,5.7572,2.161,-0.171,0.336,,307.5,0.1031,0.004,0.004,0.0048,0,-0.0232,0.0055,0.0055,0,0.0048,
,2.36,5.7572,2.161,-0.171,0.336,,322.5,0.1141,0.0044,0.0044,0.0004,0.0017,-0.0192,0.0059,0.0059,0.0035,0,
,2.36,5.7572,2.161,-0.171,0.336,,337.5,0.1178,0.0046,0.0046,0.002,0.0006,-0.0047,0.0062,0.0062,0.0004,0.0009,
,2.36,5.7572,2.161,-0.171,0.336,,352.5,0.1203,0.0048,0.0048,0.0002,0.0007,-0.0041,0.0065,0.0065,0.0018,0.0034,
,2.36,5.7572,2.19,-0.231,0.342,,7.5,0.1001,0.0076,0.0076,0.0021,0.0025,0.0144,0.0101,0.0101,0.0003,0.0064,
,2.36,5.7572,2.19,-0.231,0.342,,22.5,0.1069,0.0068,0.0068,0.0045,0.0005,0.0324,0.0089,0.0089,0.0003,0.0032,
,2.36,5.7572,2.19,-0.231,0.342,,37.5,0.0939,0.0061,0.0061,0.0002,0.0016,0.0162,0.0079,0.0079,0.0085,0,
,2.36,5.7572,2.19,-0.231,0.342,,52.5,0.0769,0.005,0.005,0.0001,0.0027,0.0177,0.0064,0.0064,0.0033,0.0027,
,2.36,5.7572,2.19,-0.231,0.342,,67.5,0.0677,0.0045,0.0045,0.0022,0.0013,0.0202,0.0058,0.0058,0.0029,0.0016,
,2.36,5.7572,2.19,-0.231,0.342,,82.5,0.0551,0.0039,0.0039,0.0036,0,0.0087,0.005,0.005,0.0007,0.0034,
,2.36,5.7572,2.19,-0.231,0.342,,97.5,0.0538,0.0037,0.0037,0.0012,0.0007,0.0211,0.0048,0.0048,0.0004,0.0008,
,2.36,5.7572,2.19,-0.231,0.342,,112.5,0.0403,0.0031,0.0031,0.0007,0.0007,0.0186,0.004,0.004,0.0014,0.0006,
,2.36,5.7572,2.19,-0.231,0.342,,127.5,0.0373,0.0028,0.0028,0,0.0037,0.0115,0.0036,0.0036,0.0001,0.0046,
,2.36,5.7572,2.19,-0.231,0.342,,142.5,0.0336,0.0027,0.0027,0,0.0017,0.0107,0.0035,0.0035,0.0016,0.0007,
,2.36,5.7572,2.19,-0.231,0.342,,157.5,0.0344,0.0028,0.0028,0.0007,0.0006,0.0064,0.0035,0.0035,0.0002,0.0009,
,2.36,5.7572,2.19,-0.231,0.342,,172.5,0.0319,0.0026,0.0026,0.0002,0.0006,0.0014,0.0034,0.0034,0.0036,0,
,2.36,5.7572,2.19,-0.231,0.342,,187.5,0.0326,0.0027,0.0027,0.0005,0.0003,-0.0012,0.0034,0.0034,0.0022,0.0005,
,2.36,5.7572,2.19,-0.231,0.342,,202.5,0.0371,0.0028,0.0028,0,0.0016,0.0014,0.0036,0.0036,0.0005,0.0011,
,2.36,5.7572,2.19,-0.231,0.342,,217.5,0.0395,0.0029,0.0029,0.0001,0.002,-0.0095,0.0037,0.0037,0,0.0022,
,2.36,5.7572,2.19,-0.231,0.342,,232.5,0.0415,0.003,0.003,0.0011,0,-0.0038,0.0038,0.0038,0,0.0021,
,2.36,5.7572,2.19,-0.231,0.342,,247.5,0.043,0.0031,0.0031,0.0014,0,-0.0084,0.004,0.004,0,0.0018,
,2.36,5.7572,2.19,-0.231,0.342,,262.5,0.0509,0.0035,0.0035,0,0.0008,-0.0112,0.0045,0.0045,0.0009,0.0007,
,2.36,5.7572,2.19,-0.231,0.342,,277.5,0.0542,0.0037,0.0037,0.0005,0.002,-0.0221,0.0048,0.0048,0.0022,0.0008,
,2.36,5.7572,2.19,-0.231,0.342,,292.5,0.0678,0.0042,0.0042,0,0.0014,-0.0215,0.0054,0.0054,0.0008,0.0016,
,2.36,5.7572,2.19,-0.231,0.342,,307.5,0.0842,0.0048,0.0048,0,0.0066,-0.0274,0.0063,0.0063,0.0079,0,
,2.36,5.7572,2.19,-0.231,0.342,,322.5,0.0907,0.0055,0.0055,0,0.0065,-0.017,0.0072,0.0072,0,0.0029,
