bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,1/2 Helc_sum_d4_sigma (nb/GeV^4),1/2 Helc_diff_d4_sigma_stat_plus,1/2 Helc_diff_d4_sigma_stat_minus,1/2 Helc_diff_d4_sigma_sys_plus,1/2 Helc_diff_d4_sigma_sys_minus,link
,5.55,1.98,0.242,0.356,,337.5,,,,,,0.000504,0.0066,0.0066,,,
,5.55,1.98,0.242,0.356,,352.5,,,,,,0.0109,0.0069,0.0069,,,
,5.55,1.98,0.302,0.356,,7.5,,,,,,-0.00324,0.0073,0.0073,,,
,5.55,1.98,0.302,0.356,,22.5,,,,,,0.0092,0.0067,0.0067,,,
,5.55,1.98,0.302,0.356,,37.5,,,,,,0.00192,0.006,0.006,,,
,5.55,1.98,0.302,0.356,,52.5,,,,,,0.0133,0.0052,0.0052,,,
,5.55,1.98,0.302,0.356,,67.5,,,,,,0.0126,0.0046,0.0046,,,
,5.55,1.98,0.302,0.356,,82.5,,,,,,0.00795,0.0042,0.0042,,,
,5.55,1.98,0.302,0.356,,97.5,,,,,,0.00616,0.0039,0.0039,,,
,5.55,1.98,0.302,0.356,,112.5,,,,,,0.00738,0.0035,0.0035,,,
,5.55,1.98,0.302,0.356,,127.5,,,,,,0.00399,0.0034,0.0034,,,
,5.55,1.98,0.302,0.356,,142.5,,,,,,0.00451,0.0035,0.0035,,,
,5.55,1.98,0.302,0.356,,157.5,,,,,,0.000998,0.0035,0.0035,,,
,5.55,1.98,0.302,0.356,,172.5,,,,,,-0.00111,0.0036,0.0036,,,
,5.55,1.98,0.302,0.356,,187.5,,,,,,-0.000779,0.0036,0.0036,,,
,5.55,1.98,0.302,0.356,,202.5,,,,,,0.0049,0.0036,0.0036,,,
,5.55,1.98,0.302,0.356,,217.5,,,,,,-0.00306,0.0035,0.0035,,,
,5.55,1.98,0.302,0.356,,232.5,,,,,,-0.00338,0.0035,0.0035,,,
,5.55,1.98,0.302,0.356,,247.5,,,,,,-0.00357,0.0037,0.0037,,,
,5.55,1.98,0.302,0.356,,262.5,,,,,,-0.0105,0.004,0.004,,,
,5.55,1.98,0.302,0.356,,277.5,,,,,,-0.00823,0.0044,0.0044,,,
,5.55,1.98,0.302,0.356,,292.5,,,,,,-0.0123,0.0049,0.0049,,,
,5.55,1.98,0.302,0.356,,307.5,,,,,,-0.0079,0.0054,0.0054,,,
,5.55,1.98,0.302,0.356,,322.5,,,,,,-0.0103,0.0061,0.0061,,,
,5.55,1.98,0.302,0.356,,337.5,,,,,,-0.00968,0.0067,0.0067,,,
,5.55,1.98,0.302,0.356,,352.5,,,,,,-0.0136,0.0072,0.0072,,,
,5.55,1.99,0.363,0.358,,7.5,,,,,,0.0027,0.0076,0.0076,,,
,5.55,1.99,0.363,0.358,,22.5,,,,,,0.00272,0.0069,0.0069,,,
,5.55,1.99,0.363,0.358,,37.5,,,,,,0.00798,0.0057,0.0057,,,
,5.55,1.99,0.363,0.358,,52.5,,,,,,0.017,0.0049,0.0049,,,
,5.55,1.99,0.363,0.358,,67.5,,,,,,0.00992,0.0043,0.0043,,,
,5.55,1.99,0.363,0.358,,82.5,,,,,,0.00643,0.0038,0.0038,,,
,5.55,1.99,0.363,0.358,,97.5,,,,,,0.00323,0.0036,0.0036,,,
,5.55,1.99,0.363,0.358,,112.5,,,,,,0.00378,0.0033,0.0033,,,
,5.55,1.99,0.363,0.358,,127.5,,,,,,0.00206,0.0033,0.0033,,,
,5.55,1.99,0.363,0.358,,142.5,,,,,,0.00229,0.0033,0.0033,,,
,5.55,1.99,0.363,0.358,,157.5,,,,,,0.000842,0.0034,0.0034,,,
,5.55,1.99,0.363,0.358,,172.5,,,,,,-0.00316,0.0036,0.0036,,,
,5.55,1.99,0.363,0.358,,187.5,,,,,,-0.00563,0.0035,0.0035,,,
,5.55,1.99,0.363,0.358,,202.5,,,,,,0.000779,0.0035,0.0035,,,
,5.55,1.99,0.363,0.358,,217.5,,,,,,-0.00243,0.0034,0.0034,,,
,5.55,1.99,0.363,0.358,,232.5,,,,,,0.00067,0.0033,0.0033,,,
,5.55,1.99,0.363,0.358,,247.5,,,,,,-0.00512,0.0035,0.0035,,,
,5.55,1.99,0.363,0.358,,262.5,,,,,,-0.0056,0.0037,0.0037,,,
,5.55,1.99,0.363,0.358,,277.5,,,,,,-0.00473,0.0041,0.0041,,,
,5.55,1.99,0.363,0.358,,292.5,,,,,,-0.0038,0.0045,0.0045,,,
,5.55,1.99,0.363,0.358,,307.5,,,,,,-0.0135,0.0051,0.0051,,,
,5.55,1.99,0.363,0.358,,322.5,,,,,,-0.00687,0.0059,0.0059,,,
,5.55,1.99,0.363,0.358,,337.5,,,,,,-0.0111,0.0068,0.0068,,,
,5.55,1.99,0.363,0.358,,352.5,,,,,,-0.00964,0.0076,0.0076,,,
,3.355,1.49,0.177,0.357,,15,,,,,,-0.0126,0.022,0.022,,,
,3.355,1.49,0.177,0.357,,45,,,,,,0.0327,0.02,0.02,,,
,3.355,1.49,0.177,0.357,,75,,,,,,0.00293,0.017,0.017,,,
,3.355,1.49,0.177,0.357,,105,,,,,,0.00281,0.014,0.014,,,
,3.355,1.49,0.177,0.357,,135,,,,,,-0.000896,0.011,0.011,,,
,3.355,1.49,0.177,0.357,,165,,,,,,-0.0171,0.024,0.024,,,
,3.355,1.49,0.177,0.357,,195,,,,,,0.0315,0.026,0.026,,,
,3.355,1.49,0.177,0.357,,225,,,,,,0.0123,0.01,0.01,,,
,3.355,1.49,0.177,0.357,,255,,,,,,-0.0364,0.015,0.015,,,
,3.355,1.49,0.177,0.357,,285,,,,,,-0.0242,0.017,0.017,,,
,3.355,1.49,0.177,0.357,,315,,,,,,-0.00137,0.02,0.02,,,
,3.355,1.49,0.177,0.357,,345,,,,,,-0.00481,0.021,0.021,,,
,3.355,1.5,0.236,0.359,,15,,,,,,-0.0121,0.029,0.029,,,
