bin,k,q_squared,t,x_b,w,phi,sigma [nb],sigma_stat_plus,sigma_stat_minus,sigma_sys_plus,sigma_sys_minus,D^4_sigma (nb/Gev^4),D^4_sigma_stat_plus,D^4_sigma_stat_minus,D^4_sigma_sys_plus,D^4_sigma_sys_minus,link
,3.355,1.49,0.177,0.357,,255,,,,,,0.2183,0.013,0.013,,,
,3.355,1.49,0.177,0.357,,285,,,,,,0.287,0.015,0.015,,,
,3.355,1.49,0.177,0.357,,315,,,,,,0.3506,0.018,0.018,,,
,3.355,1.49,0.177,0.357,,345,,,,,,0.4035,0.02,0.02,,,
,3.355,1.5,0.236,0.359,,15,,,,,,0.4956,0.035,0.035,,,
,3.355,1.5,0.236,0.359,,45,,,,,,0.3401,0.02,0.02,,,
,3.355,1.5,0.236,0.359,,75,,,,,,0.236,0.014,0.014,,,
,3.355,1.5,0.236,0.359,,105,,,,,,0.1371,0.011,0.011,,,
,3.355,1.5,0.236,0.359,,135,,,,,,0.1355,0.01,0.01,,,
,3.355,1.5,0.236,0.359,,165,,,,,,0.105,0.0096,0.0096,,,
,3.355,1.5,0.236,0.359,,195,,,,,,0.1127,0.0098,0.0098,,,
,3.355,1.5,0.236,0.359,,225,,,,,,0.1259,0.01,0.01,,,
,3.355,1.5,0.236,0.359,,255,,,,,,0.1552,0.011,0.011,,,
,3.355,1.5,0.236,0.359,,285,,,,,,0.2026,0.014,0.014,,,
,3.355,1.5,0.236,0.359,,315,,,,,,0.3202,0.019,0.019,,,
,3.355,1.5,0.236,0.359,,345,,,,,,0.5175,0.035,0.035,,,
,3.355,1.5,0.296,0.36,,45,,,,,,0.3087,0.03,0.03,,,
,3.355,1.5,0.296,0.36,,75,,,,,,0.1682,0.014,0.014,,,
,3.355,1.5,0.296,0.36,,105,,,,,,0.1207,0.011,0.011,,,
,3.355,1.5,0.296,0.36,,135,,,,,,0.1003,0.0095,0.0095,,,
,3.355,1.5,0.296,0.36,,165,,,,,,0.0774,0.0095,0.0095,,,
,3.355,1.5,0.296,0.36,,195,,,,,,0.0842,0.0098,0.0098,,,
,3.355,1.5,0.296,0.36,,225,,,,,,0.0923,0.01,0.01,,,
,3.355,1.5,0.296,0.36,,255,,,,,,0.1243,0.011,0.011,,,
,3.355,1.5,0.296,0.36,,285,,,,,,0.1655,0.014,0.014,,,
,3.355,1.5,0.296,0.36,,315,,,,,,0.3121,0.03,0.03,,,
,4.455,1.74,0.181,0.357,,7.5,,,,,,0.1792,0.0072,0.0072,,,
,4.455,1.74,0.181,0.357,,22.5,,,,,,0.1628,0.007,0.007,,,
,4.455,1.74,0.181,0.357,,37.5,,,,,,0.162,0.0068,0.0068,,,
,4.455,1.74,0.181,0.357,,52.5,,,,,,0.1444,0.0063,0.0063,,,
,4.455,1.74,0.181,0.357,,67.5,,,,,,0.1315,0.006,0.006,,,
,4.455,1.74,0.181,0.357,,82.5,,,,,,0.1237,0.0056,0.0056,,,
,4.455,1.74,0.181,0.357,,97.5,,,,,,0.0964,0.0051,0.0051,,,
,4.455,1.74,0.181,0.357,,112.5,,,,,,0.0952,0.0048,0.0048,,,
,4.455,1.74,0.181,0.357,,127.5,,,,,,0.0876,0.0045,0.0045,,,
,4.455,1.74,0.181,0.357,,142.5,,,,,,0.0806,0.0043,0.0043,,,
,4.455,1.74,0.181,0.357,,157.5,,,,,,0.0726,0.0041,0.0041,,,
,4.455,1.74,0.181,0.357,,172.5,,,,,,0.076,0.0042,0.0042,,,
,4.455,1.74,0.181,0.357,,187.5,,,,,,0.0708,0.0041,0.0041,,,
,4.455,1.74,0.181,0.357,,202.5,,,,,,0.0808,0.0044,0.0044,,,
,4.455,1.74,0.181,0.357,,217.5,,,,,,0.0837,0.0045,0.0045,,,
,4.455,1.74,0.181,0.357,,232.5,,,,,,0.0773,0.0044,0.0044,,,
,4.455,1.74,0.181,0.357,,247.5,,,,,,0.0946,0.0048,0.0048,,,
,4.455,1.74,0.181,0.357,,262.5,,,,,,0.0984,0.0052,0.0052,,,
,4.455,1.74,0.181,0.357,,277.5,,,,,,0.1235,0.0056,0.0056,,,
,4.455,1.74,0.181,0.357,,292.5,,,,,,0.1291,0.0059,0.0059,,,
,4.455,1.74,0.181,0.357,,307.5,,,,,,0.1446,0.0062,0.0062,,,
,4.455,1.74,0.181,0.357,,322.5,,,,,,0.1679,0.0067,0.0067,,,
,4.455,1.74,0.181,0.357,,337.5,,,,,,0.173,0.0071,0.0071,,,
,4.455,1.74,0.181,0.357,,352.5,,,,,,0.1724,0.0071,0.0071,,,
,4.455,1.74,0.24,0.357,,7.5,,,,,,0.189,0.0083,0.0083,,,
,4.455,1.74,0.24,0.357,,22.5,,,,,,0.1789,0.0081,0.0081,,,
,4.455,1.74,0.24,0.357,,37.5,,,,,,0.167,0.0074,0.0074,,,
,4.455,1.74,0.24,0.357,,52.5,,,,,,0.147,0.0067,0.0067,,,
,4.455,1.74,0.24,0.357,,67.5,,,,,,0.1083,0.0058,0.0058,,,
,4.455,1.74,0.24,0.357,,82.5,,,,,,0.0997,0.0054,0.0054,,,
,4.455,1.74,0.24,0.357,,97.5,,,,,,0.0831,0.0049,0.0049,,,
,4.455,1.74,0.24,0.357,,112.5,,,,,,0.0716,0.0046,0.0046,,,
,4.455,1.74,0.24,0.357,,127.5,,,,,,0.0639,0.0043,0.0043,,,
,4.455,1.74,0.24,0.357,,142.5,,,,,,0.0522,0.004,0.004,,,
,4.455,1.74,0.24,0.357,,157.5,,,,,,0.0498,0.0041,0.0041,,,
,4.455,1.74,0.24,0.357,,172.5,,,,,,0.0456,0.004,0.004,,,
