set,index,k,q_squared,x_b,t,phi,F,sigma,sigma_stat_plus,F1,F2
11,15,5.75,2.012,0.378,-0.192,232.5,0.03810,0.00528,0.13858,0.65835,1.03995
11,16,5.75,2.012,0.378,-0.192,247.5,0.03770,0.00516,0.13687,0.65835,1.03995
11,17,5.75,2.012,0.378,-0.192,262.5,0.04340,0.00552,0.12719,0.65835,1.03995
11,18,5.75,2.012,0.378,-0.192,277.5,0.04410,0.00588,0.13333,0.65835,1.03995
11,19,5.75,2.012,0.378,-0.192,292.5,0.05050,0.00636,0.12594,0.65835,1.03995
11,20,5.75,2.012,0.378,-0.192,307.5,0.05770,0.00696,0.12062,0.65835,1.03995
11,21,5.75,2.012,0.378,-0.192,322.5,0.06210,0.00708,0.11401,0.65835,1.03995
11,22,5.75,2.012,0.378,-0.192,337.5,0.06230,0.00708,0.11364,0.65835,1.03995
11,23,5.75,2.012,0.378,-0.192,352.5,0.06540,0.00720,0.11009,0.65835,1.03995
12,0,5.75,2.054,0.392,-0.233,7.5,0.05700,0.00456,0.08,0.61246,0.94253
12,1,5.75,2.054,0.392,-0.233,22.5,0.05510,0.00432,0.0784,0.61246,0.94253
12,2,5.75,2.054,0.392,-0.233,37.5,0.04820,0.00396,0.08216,0.61246,0.94253
12,3,5.75,2.054,0.392,-0.233,52.5,0.05140,0.00396,0.07704,0.61246,0.94253
12,4,5.75,2.054,0.392,-0.233,67.5,0.04200,0.00360,0.08571,0.61246,0.94253
12,5,5.75,2.054,0.392,-0.233,82.5,0.04140,0.00348,0.08406,0.61246,0.94253
12,6,5.75,2.054,0.392,-0.233,97.5,0.03280,0.00324,0.09878,0.61246,0.94253
12,7,5.75,2.054,0.392,-0.233,112.5,0.03390,0.00312,0.09204,0.61246,0.94253
12,8,5.75,2.054,0.392,-0.233,127.5,0.02800,0.00276,0.09857,0.61246,0.94253
12,9,5.75,2.054,0.392,-0.233,142.5,0.02730,0.00276,0.1011,0.61246,0.94253
12,10,5.75,2.054,0.392,-0.233,157.5,0.02760,0.00264,0.09565,0.61246,0.94253
